sec,nsec,x,y,z
2205,751000000,0.501215,-0.49432,0.00782766
2205,785000000,0.501216,-0.49432,0.00784132
2205,819000000,0.501217,-0.49432,0.00784039
2205,853000000,0.501218,-0.49432,0.00784325
2205,887000000,0.501219,-0.49432,0.00782735
2205,921000000,0.50122,-0.49432,0.00781916
2205,955000000,0.501222,-0.494319,0.00782006
2205,989000000,0.501223,-0.494319,0.00783582
2206,23000000,0.501224,-0.494319,0.00784487
2206,57000000,0.501225,-0.494319,0.00783982
2206,91000000,0.501226,-0.494319,0.00781843
2206,125000000,0.501228,-0.494319,0.00781672
2206,159000000,0.501229,-0.494319,0.00782193
2206,193000000,0.50123,-0.494319,0.0078377
2206,227000000,0.501231,-0.494319,0.00784407
2206,261000000,0.501232,-0.494319,0.00784423
2206,295000000,0.501233,-0.494319,0.00783748
2206,329000000,0.501235,-0.494319,0.00783608
2206,363000000,0.501236,-0.494319,0.0078213
